-0.31625	-0.31625
-0.24235	-0.24235
-0.15845	-0.15845
-0.06800	-0.06800
0.02523	0.02523
0.11740	0.11740
0.20462	0.20462
0.28336	0.28336
0.35032	0.35032
0.40268	0.40268
0.43841	0.43841
0.45592	0.45592
0.45444	0.45444
0.43422	0.43422
0.39597	0.39597
0.34126	0.34126
0.27255	0.27255
0.19247	0.19247
0.10441	0.10441
0.01214	0.01214
-0.08065	-0.08065
-0.17005	-0.17005
-0.25235	-0.25235
-0.32418	-0.32418
-0.38254	-0.38254
-0.42501	-0.42501
-0.44983	-0.44983
-0.45601	-0.45601
-0.44329	-0.44329
-0.41216	-0.41216
-0.36396	-0.36396
-0.30071	-0.30071
-0.22498	-0.22498
-0.13998	-0.13998
-0.04920	-0.04920
0.04364	0.04364
0.13453	0.13453
0.21991	0.21991
0.29613	0.29613
0.35996	0.35996
0.40894	0.40894
0.44091	0.44091
0.45455	0.45455
0.44945	0.44945
0.42560	0.42560
0.38412	0.38412
0.32684	0.32684
0.25588	0.25588
0.17440	0.17440
0.08577	0.08577
-0.00648	-0.00648
-0.09840	-0.09840
-0.18616	-0.18616
-0.26625	-0.26625
-0.33523	-0.33523
-0.39028	-0.39028
-0.42916	-0.42916
-0.45021	-0.45021
-0.45260	-0.45260
-0.43621	-0.43621
-0.40176	-0.40176
-0.35066	-0.35066
-0.28499	-0.28499
-0.20758	-0.20758
-0.12159	-0.12159
-0.03051	-0.03051
0.06171	0.06171
0.15141	0.15141
0.23479	0.23479
0.30838	0.30838
0.36921	0.36921
0.41468	0.41468
0.44293	0.44293
0.45287	0.45287
0.44398	0.44398
0.41667	0.41667
0.37215	0.37215
0.31215	0.31215
0.23925	0.23925
0.15646	0.15646
0.06718	0.06718
-0.02487	-0.02487
-0.11582	-0.11582
-0.20197	-0.20197
-0.27971	-0.27971
-0.34584	-0.34584
-0.39762	-0.39762
-0.43289	-0.43289
-0.45021	-0.45021
-0.44884	-0.44884
-0.42887	-0.42887
-0.39112	-0.39112
-0.33716	-0.33716
-0.26924	-0.26924
-0.19016	-0.19016
-0.10320	-0.10320
-0.01202	-0.01202
0.07966	0.07966
0.16801	0.16801
0.24940	0.24940
